itemId,displayNameKo,category,rarity,sourceType,sellPrice,stackable,maxStack,cookTag,sortOrder,crewExp,isEnabled,notes
fish_anchovy,멸치,Fish,Common,Fishing,50,TRUE,999,fish_small,100,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_mackerel,고등어,Fish,Common,Fishing,90,TRUE,999,fish_medium,110,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_flatfish,광어,Fish,Uncommon,Fishing,450,TRUE,999,fish_flat,120,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_hairtail,갈치,Fish,Uncommon,Fishing,380,TRUE,999,fish_long,130,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_saury,꽁치,Fish,Common,Fishing,70,TRUE,999,fish_small,140,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_squid,오징어,Fish,Uncommon,Fishing,280,TRUE,999,fish_squid,150,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_pollock,생태,Fish,Uncommon,Fishing,320,TRUE,999,fish_medium,160,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_snapper,참돔,Fish,Epic,Fishing,880,TRUE,999,fish_premium,170,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_bluefinTuna,참다랑어,Fish,Epic,Fishing,1200,TRUE,999,fish_premium,180,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_puffer,복어,Fish,Epic,Fishing,950,TRUE,999,fish_premium,190,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_rockfish,볼락,Fish,Common,Fishing,150,TRUE,999,fish_rock,200,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_filefish,쥐치,Fish,Common,Fishing,170,TRUE,999,fish_small,210,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_croaker,조기,Fish,Common,Fishing,200,TRUE,999,fish_medium,220,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_octopus,낙지,Fish,Uncommon,Fishing,520,TRUE,999,fish_octopus,230,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_yellowtail,방어,Fish,Uncommon,Fishing,580,TRUE,999,fish_premium,240,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_seabass,농어,Fish,Uncommon,Fishing,650,TRUE,999,fish_medium,250,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_cuttlefish,갑오징어,Fish,Uncommon,Fishing,720,TRUE,999,fish_squid,260,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_amberjack,부시리,Fish,Epic,Fishing,1400,TRUE,999,fish_premium,270,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_sunfish,개복치,Fish,Epic,Fishing,1800,TRUE,999,fish_large,280,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_swordfish,황새치,Fish,Legendary,Fishing,3500,TRUE,999,fish_legendary,290,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_moray,곰치,Fish,Common,Fishing,300,TRUE,999,fish_deepsea,300,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_scorpionfish,쏨뱅이,Fish,Common,Fishing,340,TRUE,999,fish_rock,310,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_oarfish,산갈치,Fish,Uncommon,Fishing,900,TRUE,999,fish_long,320,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
fish_kingcrab,킹크랩,Fish,Uncommon,Fishing,1100,TRUE,999,fish_crab,330,,TRUE,RMS FishData 기준으로 등록한 낚시 획득 물고기입니다.
